Gene_model,Gene_type,Description
AT1G77980,protein_coding,"Description: Encodes a member of the MIKC (MADS box; Keratin binding domain, and C terminal domain containing )family of transcriptional regulators. AGL66 is expressed in pollen.It forms heterodimers with other MICK family members (AGL104). Involved in late stages of pollen development and pollen tube growth., Other Name: AGAMOUS-LIKE 66;AGL66, Keywords: pollen development;regulation of DNA-templated transcription;pollen development;pollen maturation;regulation of pollen tube growth;regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;pollen;pollen tube cell,"
AT1G66450,protein_coding,"Description: Cysteine/Histidine-rich C1 domain family protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;nucleus;molecular_function;petal differentiation and expansion stage;vascular leaf senescent stage;carpel;flower;hypocotyl;leaf apex;root;shoot apex;vascular leaf,"
AT1G66500,protein_coding,"Description: Pre-mRNA cleavage complex II;(source:Araport11), Other Name: PCFS1;POLYADENYLATION AND CLEAVAGE FACTOR HOMOLOG 1, Keywords: termination of RNA polymerase II transcription;cytoplasm;nucleus;mRNA cleavage factor complex;RNA polymerase II complex binding;mRNA binding;L mature pollen stage;M germinated pollen stage;guard cell;pollen;pollen tube cell,"
AT1G31660,protein_coding,"Description: Encodes a protein that is a ribosome biogenesis co-factor. Mutants display aberrant RNA processing and male and female gametophyte development., Other Name: ATENP1;ENP1;ESSENTIAL NUCLEAR PROTEIN 1, Keywords: embryo sac development;pollen development;rRNA processing;rRNA processing;cytoplasm;nucleolus;nucleolus;nucleoplasm;nucleus;preribosome, small subunit precursor;snoRNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G44980,protein_coding,"Description: Type II pectin methylesterase, Other Name: A. THALIANA PECTIN METHYLESTERASE 7;ATPME7;PECTIN METHYLESTERASE 7;PME7, Keywords: cell wall modification;pectin catabolic process;nucleus;pectinesterase activity;pectinesterase inhibitor activity;flower;seed,"
AT1G31630,protein_coding,"Description: AGAMOUS-like 86;(source:Araport11), Other Name: AGAMOUS-LIKE 86;AGL86, Keywords: regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;fruit;gynoecium;leaf;antipodal cell;endosperm,"
AT1G49210,protein_coding,"Description: RING/U-box superfamily protein;(source:Araport11), Other Name: ATL76;Arabidopsis Toxicos en Levadura 76, Keywords: protein ubiquitination;cellular_component;ubiquitin-protein transferase activity;LP.06 six leaves visible stage;LP.10 ten leaves visible stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;hypocotyl;inflorescence meristem;leaf apex;pollen;root;vascular leaf,"
AT1G49240,protein_coding,"Description: Member of a subclass of actins composed of ACT2 and ACT8. Its mRNA is strongly expressed in strongly expressed in leaves; roots, stems, flowers, pollen, and siliques. However, protein expression, assayed by a ACT8:GUS fusion reporter, is very low in pollen., Other Name: ACT8;ACTIN 8;FIZ1;FRIZZY AND KINKED SHOOTS, Keywords: root hair cell tip growth;chloroplast envelope;chloroplast stroma;cytoplasm;cytosol;nucleus;plant-type vacuole;plasmodesma;copper ion binding;mRNA binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed development stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;epidermal cell;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;mesophyll cell;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;trichome;vascular leaf,"
AT1G48920,protein_coding,"Description: Encodes ATNUC-L1 (NUCLEOLIN LIKE 1); the predominant form of the two nucleolin proteins found in Arabidopsis. This protein is involved in rRNA processing, ribosome biosynthesis, and vascular pattern formation. PARL1 localizes to the nucleolus and parl1 mutants accumulate elevated levels of the unspliced 35S pre-rRNA. parl1 mutants also have defects in cotyledon, leaf, sepal, and petal vein patterning and have reduced stature, reduced fertility, increased bushiness, and reduced root length. The sugar-induced expression of ribosome proteins is also reduced in parl1 mutants. The mRNA is cell-to-cell mobile., Other Name: ATNUC-L1;NUC-L1;NUC1;NUCLEOLIN 1;NUCLEOLIN LIKE 1;PARALLEL 1;PARL1;nucleolin like 1, Keywords: cotyledon vascular tissue pattern formation;leaf development;leaf vascular tissue pattern formation;petal vascular tissue pattern formation;rRNA processing;ribosome biogenesis;root development;sepal vascular tissue pattern formation;shoot system development;eukaryotic translation initiation factor 4F complex assembly;formation of translation preinitiation complex;nucleolus;mitochondrion;nucleolus;nucleus;cytosol;RNA strand annealing activity;RNA strand-exchange activity;mRNA binding;protein binding;ribosomal small subunit binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cotyledon vascular system;cultured plant cell;flower;flower pedicel;flower vascular system;funicle;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;leaf vascular system;petal;petiole;plant callus;plant embryo;plant sperm cell;pollen;root;root tip;root vascular system;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;vascular leaf primordium;cell-to-cell mobile RNA,"
AT1G43780,protein_coding,"Description: serine carboxypeptidase-like 44;(source:Araport11), Other Name: scpl44;serine carboxypeptidase-like 44, Keywords: biological_process;cellular_component;serine-type carboxypeptidase activity;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;carpel;flower;flower pedicel;plant embryo;pollen tube cell;root;seed;shoot apex;stamen;stem,"
AT1G23450,protein_coding,"Description: pentatricopeptide (PPR) repeat-containing protein, Other Name: N/A, Keywords: RNA modification;cellular_component;mitochondrion;RNA binding;flowering stage;flower pedicel;guard cell;root,"
AT1G66460,protein_coding,"Description: Protein kinase superfamily protein;(source:Araport11), Other Name: N/A, Keywords: phosphorylation;protein phosphorylation;signal transduction;plasma membrane;nucleus;ATP binding;protein kinase activity;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;guard cell;inflorescence meristem;non-hair root epidermal cell;sepal;stamen;stem,"
AT1G66570,protein_coding,"Description: sucrose-proton symporter 7;(source:Araport11), Other Name: ATSUC7;SUC7;Sucrose-proton symporter 7;sucrose-proton symporter 7, Keywords: sucrose metabolic process;sucrose transport;transmembrane transport;plasma membrane;vacuole;nucleus;sucrose:proton symporter activity;flowering stage;sepal;stamen,"
AT1G43850,protein_coding,"Description: Encodes a transcriptional co-regulator of AGAMOUS; that functions with LEUNIG to repress AG in the outer floral whorls.SEU phase separates upon hyperosmotic stress to form nuclear condensates. SEU condensation is indispensable for osmotic stress tolerance, and loss of SEU dramatically compromises the expression of stress tolerance genes (PMID:36376475)., Other Name: SEU;seuss, Keywords: embryo development ending in seed dormancy;gynoecium development;multicellular organism development;plant ovule development;regulation of flower development;DNA damage response;cellular response to external biotic stimulus;cellular response to osmotic stress;negative regulation of transcription by RNA polymerase II;positive regulation of transcription by RNA polymerase II;response to auxin;response to bacterium;response to cycloheximide;response to fungus;response to hypoxia;response to nematode;response to oxidative stress;response to silver ion;nucleus;nucleus;transcription regulator complex;DNA binding;protein binding;protein heterodimerization activity;transcription coregulator activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;gynoecium primordium;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;ovule primordium;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G49120,protein_coding,"Description: encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11., Other Name: CRF9;cytokinin response factor 9, Keywords: regulation of DNA-templated transcription;regulation of DNA-templated transcription;nucleus;DNA-binding transcription factor activity,"
AT1G26310,protein_coding,"Description: Floral homeotic gene encoding a MADS domain protein homologous to AP1. Enhances the flower to shoot transformation in ap1 mutants., Other Name: AGAMOUS-like 10;AGL10;CAL;CAL1;CAULIFLOWER, Keywords: floral meristem determinacy;positive regulation of flower development;regulation of DNA-templated transcription;floral meristem determinacy;regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;carpel;collective leaf structure;flower;flower pedicel;hypocotyl;petal;plant embryo;root;seed;sepal;shoot apex;stamen,"
AT1G26320,protein_coding,"Description: Zinc-binding dehydrogenase family protein;(source:Araport11), Other Name: N/A, Keywords: response to oxidative stress;response to oxidative stress;cytoplasm;nucleus;2-alkenal reductase [NAD(P)+] activity;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;petal;pollen;pollen tube cell;rosette leaf;stamen;pollen,"
AT1G48980,protein_coding,"Description: 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11), Other Name: ALKBH9A;ATALKBH9A, Keywords: mRNA catabolic process;mitochondrion;demethylase activity;mRNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;plant embryo bilateral stage;carpel;cotyledon;inflorescence meristem;petal;plant embryo;plant sperm cell;root;sepal;shoot apex;stamen;stem;vascular leaf,"
AT1G49040,protein_coding,"Description: Encodes soluble protein containing N-terminal DENN domain and eight C-terminal WD-40 repeats. Involved in cytokinesis of guard mother cells and leaf epidermal cells.  The overall growth and development of mutant plants is severely affected; they are smaller than wt, with defects in seedling development, leaf expansion and flower morphology which renders the mutant conditionally sterile., Other Name: SCD1;STOMATAL CYTOKINESIS-DEFECTIVE 1, Keywords: cytokinesis by cell plate formation;guard mother cell cytokinesis;multidimensional cell growth;negative regulation of innate immune response;regulation of Rab protein signal transduction;guard cell differentiation;cytoplasmic vesicle;clathrin-coated vesicle;nucleus;plasma membrane;Cul4-RING E3 ubiquitin ligase complex;protein binding;L mature pollen stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;pollen tube cell;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G32240,protein_coding,"Description: Encodes a member of the KANADI family of putative transcription factors. Together with KAN1; this gene appears to be involved in the development of the carpel and the outer integument of the ovule.Along with KAN1 and KAN4 appears to regulate the proper localization of PIN1 in early embryogenesis., Other Name: KAN2;KANADI 2, Keywords: carpel development;plant ovule development;polarity specification of adaxial/abaxial axis;regulation of DNA-templated transcription;abaxial cell fate specification;regulation of DNA-templated transcription;nucleus;nucleus;DNA-binding transcription factor activity;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G26330,protein_coding,"Description: DNA binding protein;(source:Araport11), Other Name: N/A, Keywords: regulation of cell cycle;nucleus;nucleus;molecular_function;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;collective leaf structure;flower;flower pedicel;plant embryo;plant sperm cell;root;seed;shoot apex,"
AT1G26260,protein_coding,"Description: Encodes CIB5 (cryptochrome-interacting basic-helix-loop-helix).  Related to CIB1 (AT4G34530).  CIB5 interacts with CRY2 and forms heterodimer with CIB1 in vitro. Regulates flowering time redundantly with CIB1., Other Name: CIB5;CRYPTOCHROME-INTERACTING BASIC-HELIX-LOOP-HELIX 5, Keywords: positive regulation of flower development;regulation of DNA-templated transcription;regulation of DNA-templated transcription;response to blue light;nucleus;nucleus;DNA-binding transcription factor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G76820,protein_coding,"Description: eukaryotic translation initiation factor 2 (eIF-2) family protein;(source:Araport11), Other Name: N/A, Keywords: translational initiation;cytoplasm;cytoplasm;GTP binding;GTPase activity;translation initiation factor activity;M germinated pollen stage;guard cell;plant sperm cell;pollen,"
AT1G72540,protein_coding,"Description: Protein kinase superfamily protein;(source:Araport11), Other Name: PBL33;PBS1-LIKE 33, Keywords: phosphorylation;chloroplast;protein serine/threonine kinase activity;flowering stage;guard cell;stamen;stem,"
AT1G72530,protein_coding,"Description: Member of MORF family consisting of of nine full-length proteins encoded in the nuclear genome. MORF proteins are required for all RNA editing events in plastids and for many; possibly also all, sites in mitochondria. Potential link between the RNA binding PPR protein and the protein contributing the enzymatic activity in RNA editing., Other Name: MORF7;MULTIPLE ORGANELLAR RNA EDITING FACTOR 7;RIP7;RNA editing-Interacting Protein, Keywords: mitochondrial mRNA modification;mitochondrion;chloroplast;mitochondrion;protein dimerization activity;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;carpel;collective leaf structure;flower;guard cell;petal;plant embryo;sepal;shoot apex,"
AT1G78080,protein_coding,"Description: Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling. The mRNA is cell-to-cell mobile., Other Name: ATWIND1;ERF59;RAP2.4;WIND1;related to AP2 4;wound induced dedifferentiation 1, Keywords: cellular response to salt stress;cytokinin-activated signaling pathway;ethylene-activated signaling pathway;red or far-red light signaling pathway;regulation of cell differentiation;response to cold;response to heat;response to light stimulus;response to osmotic stress;response to salt stress;response to water deprivation;response to wounding;regulation of DNA-templated transcription;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
AT1G76750,protein_coding,"Description: Encodes a small cysteine-rich protein that is secreted by the egg cell during gamete interactions. The regulated secretion of EC1 by the egg cell upon sperm-egg interaction is proposed to ensure the appropriate localization of the cell-fusion machinery in distinct sperm membrane domains to accomplish gamete fusion., Other Name: EC1.1;EGG CELL 1.1, Keywords: double fertilization forming a zygote and endosperm;double fertilization forming a zygote and endosperm;regulation of double fertilization forming a zygote and endosperm;regulation of protein localization to cell surface;extracellular region;vesicle;extracellular region;intracellular anatomical structure;vesicle;molecular_function;plant egg cell;plant egg cell,"
AT1G76850,protein_coding,"Description: Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion. The mRNA is cell-to-cell mobile., Other Name: EXOCYST COMPLEX COMPONENT SEC5;SEC5A, Keywords: acceptance of pollen;pollen germination;pollen tube growth;Golgi to plasma membrane transport;exocytosis;cytosol;extracellular exosome;nucleus;plasma membrane;plasmodesma;exocyst;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
AT1G76710,protein_coding,"Description: SET domain group 26;(source:Araport11), Other Name: ASH1-RELATED PROTEIN 1;ASHH1;SDG26;SET DOMAIN GROUP 26, Keywords: DNA repair;response to UV-B;vegetative to reproductive phase transition of meristem;regulation of DNA-templated transcription;chromatin;nucleus;nucleus;histone H3K36 methyltransferase activity;histone methyltransferase activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G78040,protein_coding,"Description: Pollen Ole e 1 allergen and extensin family protein;(source:Araport11), Other Name: N/A, Keywords: extracellular region;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G31120,protein_coding,"Description: potassium transporter, Other Name: K+ uptake permease 10;KUP10, Keywords: potassium ion transport;membrane;cytoplasm;potassium ion transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;carpel;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;plant sperm cell;root;sepal,"
AT1G29140,protein_coding,"Description: Pollen Ole e 1 allergen and extensin family protein;(source:Araport11), Other Name: N/A, Keywords: extracellular region;molecular_function;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;plant embryo globular stage;carpel;collective leaf structure;flower;petal;plant embryo;pollen;pollen tube cell;sepal;stamen,"
AT1G31140,protein_coding,"Description: Encodes a B-sister MADS-box protein; GORDITA which is specific to the Brassicaceae. GOA is the most closely related paralog of ABS. GOA represses fruit growth and contributes to integument development.  Over-expression of GOA results in disorganized floral structure and addition of carpel-like  features to sepals., Other Name: AGAMOUS-LIKE 63;GOA;GORDITA;agl63, Keywords: fruit development;fruit morphogenesis;integument development;negative regulation of cell growth;regulation of timing of transition from vegetative to reproductive phase;negative regulation of cell growth;regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;cauline leaf;flower;fruit;plant embryo;rosette leaf;chalaza;embryo sac;outer integument;plant ovule,"
AT1G29280,protein_coding,"Description: member of WRKY Transcription Factor; Group II-e The mRNA is cell-to-cell mobile., Other Name: ABNORMAL 33 THERMOMORPHOGENESIS 3;ABT3;ATWRKY65;WRKY DNA-BINDING PROTEIN 65;WRKY65, Keywords: regulation of DNA-templated transcription;regulation of DNA-templated transcription;nucleus;DNA-binding transcription factor activity;transcription cis-regulatory region binding;LP.04 four leaves visible stage;LP.06 six leaves visible stage;flowering stage;cotyledon;guard cell;hypocotyl;inflorescence meristem;root;sepal;shoot apex;stem;vascular leaf;cell-to-cell mobile RNA,"
AT1G29300,protein_coding,"Description: intracellular protein transporter; putative (DUF641);(source:Araport11), Other Name: CHIGL6;CHIQUITA1-LIKE 6;UNE1;unfertilized embryo sac 1, Keywords: double fertilization forming a zygote and endosperm;negative gravitropism;response to red or far red light;cellular_component;molecular_function;guard cell,"
AT1G29170,protein_coding,"Description: Encodes a member of the SCAR family.These proteins are part of a complex (WAVE) complex.The SCAR subunit activates the ARP2/3 complex which in turn act as a nucleator for actin filaments., Other Name: AtSCAR3;SCAR3;WASP (Wiskott-Aldrich syndrome protein)-family verprolin homologous protein 2;WAVE2, Keywords: positive regulation of actin nucleation;actin cytoskeleton organization;positive regulation of Arp2/3 complex-mediated actin nucleation;cytoplasm;SCAR complex;Arp2/3 complex binding;protein binding;protein kinase A regulatory subunit binding;guard cell,"
AT1G29200,protein_coding,"Description: O-fucosyltransferase family protein;(source:Araport11), Other Name: N/A, Keywords: biological_process;nucleus;glycosyltransferase activity;flowering stage;petal differentiation and expansion stage;collective leaf structure;flower;hypocotyl;inflorescence meristem;petal;pollen tube cell;root;sepal,"
AT1G37150,protein_coding,"Description: Although HCS2 is predicted to encode a biotin protein ligase / holocarboxylase synthetase (HCS); hcs2 mutants do not show a decrease in HCS activity. A dual-targeted HCS1 (At2g25710) might account for the HCS activity observed in multiple subcellular compartments in Arabidopsis., Other Name: HCS2;holocarboxylase synthetase 2, Keywords: protein modification process;cytoplasm;chloroplast;cytoplasm;biotin--[biotin carboxyl-carrier protein] ligase activity;flowering stage;flower pedicel;guard cell,"
AT1G72110,protein_coding,"Description: O-acyltransferase (WSD1-like) family protein;(source:Araport11), Other Name: WSD2, Keywords: triglyceride biosynthetic process;plasma membrane;O-acyltransferase activity;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo globular stage;collective leaf structure;flower;flower pedicel;petal;plant embryo;seed;sepal,"
AT1G22130,protein_coding,"Description: Encodes a member of the MIKC (MADS box; Keratin binding domain, and C terminal domain containing )family of transcriptional regulators. AGL104 is expressed in pollen.It forms heterodimers with other MICK family members (AGL65 and AGL30). Involved in late stages of pollen development and pollen tube growth., Other Name: AGAMOUS-LIKE 104;AGL104, Keywords: pollen development;pollen development;pollen maturation;regulation of pollen tube growth;regulation of transcription by RNA polymerase II;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;L mature pollen stage;M germinated pollen stage;flowering stage;petal differentiation and expansion stage;collective leaf structure;endosperm;flower;petal;pollen;pollen tube cell;sepal,"
AT1G72050,protein_coding,"Description: Encodes a transcriptional factor TFIIIA required for transcription of 5S rRNA gene.  5S rRNA is the smallest constituent of the ribosome.  Work on one of the gene models AT1G72050.2 showed that it encodes a protein with nine Cys(2)-His(2)-type zinc fingers; a characteristic feature of TFIIIA proteins. AT1G72050.2 also contains a 23 amino acid spacer between fingers 1 and 2, a 66 amino acid spacer between fingers 4 and 5, and a 50 amino acid non-finger C-terminal tail.  in vitro assay demonstrated that AT1g72050.2 binds to 5S rDNA  and efficiently stimulates the transcription of 5S rRNA. AT1g72050.2 also binds to 5S rRNA in vitro. AT1g72050.2 is located at several nuclear foci including the nucleolus and is absent from the cytoplasm., Other Name: TFIIIA;TRANSCRIPTION FACTOR IIIA, Keywords: regulation of transcription by RNA polymerase II;nucleolus;nucleus;cytosol;nucleolus;nucleus;cytoplasm;5S rDNA binding;5S rRNA binding;DNA-binding transcription factor activity;RNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant egg cell;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;vascular leaf,"
AT1G72760,protein_coding,"Description: Protein kinase superfamily protein;(source:Araport11), Other Name: N/A, Keywords: phosphorylation;protein phosphorylation;nucleus;ATP binding;protein kinase activity;pollen tube cell,"
AT1G72660,protein_coding,"Description: P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11), Other Name: DRG1-3, Keywords: cytoplasmic translation;cytoplasm;cytoplasm;mitochondrion;GDP binding;GTP binding;GTPase activity;mRNA binding;flowering stage;flower;guard cell;root;rosette leaf,"
AT1G20530,protein_coding,"Description: girdin (DUF630 and DUF632);(source:Araport11), Other Name: N/A, Keywords: nucleus;molecular_function;petal differentiation and expansion stage;plant embryo bilateral stage;flower;plant embryo;shoot apex,"
